Municipio,RF_2010,RF_2000,RF_1980
2516151,75,128,
2516201,80,130,106
2516300,75,128,113
2516409,75,128,107
2516508,75,128,106
2516607,80,130,105
2516706,80,130,106
2516755,75,128,
2516805,80,130,105
2516904,80,130,106
2517001,79,133,112
2517100,80,130,106
2517209,80,130,
2517407,75,133,
2600054,79,133,
2600104,80,130,105
2600203,77,131,111
2600302,79,133,112
2600401,79,133,112
2600500,81,133,114
2600609,79,133,114
2600708,79,133,112
2600807,79,133,112
2600906,79,133,112
2601003,79,133,114
2601052,79,133,
2601102,77,131,99
2601201,79,133,114
2601300,79,133,112
2601409,79,133,112
2601508,79,133,112
2601607,80,131,105
2601706,79,133,114
2601805,80,130,105
2601904,79,133,112
2602001,77,131,105
2602100,79,133,114
2602209,79,133,112
2602308,79,133,112
2602407,79,133,114
2602506,80,130,106
2602605,79,133,113
2602704,79,133,112
2602803,79,133,114
2602902,79,133,112
2603009,80,131,105
2603108,79,133,112
2603207,79,133,114
2603306,79,133,114
2603405,80,130,105
2603454,79,133,
2603504,79,133,112
2603603,79,133,112
2603702,79,133,112
2603801,79,133,114
2603900,80,130,105
2603926,80,131,
2604007,79,133,112
2604106,79,133,112
2604155,79,133,
2604205,79,133,112
2604304,80,131,105
2604403,79,133,112
2604502,79,133,112
2604601,79,133,112
2604700,79,133,114
2604809,79,133,112
2604908,79,133,112
2605004,79,133,112
2605103,80,130,105
2605152,77,131,
2605202,79,133,112
2605301,80,131,105
2605400,79,133,112
2605459,78,132,
2605509,79,133,112
2605608,80,130,105
2605707,81,131,105
2605806,79,133,112
2605905,79,133,112
2606002,79,133,114
2606101,79,133,112
2606200,79,133,112
2606309,80,131,105
2606408,79,133,112
2606507,79,133,114
2606606,81,134,114
2606705,79,133,112
2606804,79,133,112
2606903,80,130,105
2607000,81,134,126
2607109,80,130,105
2607208,79,133,112
2607307,77,131,99
2607406,80,131,105
2607505,81,134,114
2607604,79,133,112
2607653,79,133,112
2607703,80,130,106
2607752,79,133,
2607802,79,133,112
2607901,79,133,112
2607950,79,133,
2608008,79,133,114
2608057,81,134,
2608107,79,133,112
2608206,79,133,112
2608255,79,133,
2608305,79,133,114
2608404,79,133,114
2608453,79,133,
2608503,79,133,112
2608602,79,133,114
2608701,79,133,112
2608750,80,131,
2608800,79,133,114
2608909,79,133,112
2609006,79,133,112
2609105,79,133,112
2609154,81,134,
2609204,79,133,112
2609303,80,131,105
2609402,79,133,112
2609501,79,133,112
2609600,79,133,112
2609709,79,133,112
2609808,80,131,105
2609907,77,131,105
2610004,79,133,112
2610103,79,133,114
2610202,79,133,112
2610301,79,133,114
2610400,80,131,105
2610509,79,133,112
2610608,79,133,112
2610707,79,133,112
2610806,79,133,114
2610905,79,133,114
2611002,81,134,126
2611101,80,131,140
2611200,79,133,114
2611309,79,133,112
2611408,79,133,112
2611507,81,133,112
2611533,80,130,
2611606,79,133,112
2611705,79,133,112
2611804,79,133,112
2611903,79,133,112
2612000,79,133,112
2612109,79,133,112
2612208,80,131,105
2612307,79,133,114
2612406,79,133,114
2612455,77,131,
2612471,80,130,
2612505,79,133,113
2612554,77,131,
2612604,80,131,140
2612703,79,133,112
2612802,80,130,106
2612901,79,133,112
2613008,79,133,114
2613107,79,133,112
2613206,79,133,114
2613305,79,133,112
2613404,79,133,112
2613503,80,131,105
2613602,80,130,106
2613701,79,133,112
2613800,79,133,112
2613909,80,130,105
2614006,80,131,105
2614105,75,133,114
2614204,79,133,112
2614303,80,131,105
2614402,80,130,105
2614501,79,133,112
2614600,80,130,105
2614709,79,133,114
2614808,81,134,126
2614857,79,133,
2615003,79,133,112
2615102,79,133,114
2615201,80,131,105
2615300,79,133,112
2615409,79,133,112
2615508,79,133,112
2615607,77,131,105
2615706,80,130,105
2615805,79,133,114
2615904,80,130,106
2616001,79,133,114
2616100,80,131,105
2616183,79,133,
2616209,79,133,112
2616308,79,133,112
2616407,79,133,112
2616506,79,133,
2700102,81,134,126
2700201,81,134,114
2700300,81,134,114
2700409,81,134,114
2700508,81,134,114
2700607,81,134,114
2700706,81,134,114
2700805,81,134,114
2700904,81,134,114
2701001,81,134,114
2701100,81,134,114
2701209,81,134,114
2701308,81,134,114
2701357,79,133,
2701407,81,134,114
2701506,81,134,115
2701605,81,134,126
2701704,81,134,114
2701803,81,134,114
2701902,81,134,114
2702009,81,134,114
2702108,79,133,112
2702207,81,134,114
2702306,81,134,114
2702355,81,134,
2702405,81,134,126
2702504,81,134,114
2702553,81,134,
2702603,81,134,114
2702702,82,135,115
2702801,81,134,114
2702900,81,134,114
2703007,81,134,114
2703106,81,134,114
2703205,82,135,115
2703304,81,134,126
2703403,81,134,114
2703502,81,133,112
2703601,81,133,114
2703700,81,134,114
2703759,81,,
2703809,81,134,114
2703908,79,133,112
2704005,81,134,114
2704104,81,134,114
2704203,81,134,114
2704302,81,134,114
2704401,81,134,114
2704500,81,133,112
2704609,81,134,126
2704708,81,134,114
2704807,81,134,114
2704906,81,134,114
2705002,81,134,126
2705101,81,134,114
2705200,81,134,114
2705309,81,134,114
2705408,81,134,114
2705507,81,134,114
2705606,79,133,112
2705705,81,134,114
2705804,81,134,126
2705903,81,135,114
2706000,81,134,114
2706109,81,134,114
2706208,81,134,114
2706307,81,134,114
2706406,81,134,114
2706422,81,134,
2706448,81,134,
2706505,81,134,114
2706604,81,134,114
2706703,82,135,115
2706802,82,135,115
2706901,81,134,114
2707008,81,134,114
2707107,81,134,126
2707206,81,134,114
2707305,81,134,114
2707404,81,134,114
2707503,82,135,115
2707602,81,134,114
2707701,81,134,114
2707800,81,134,114
2707909,81,134,114
2708006,81,134,114
2708105,81,134,114
2708204,82,135,115
2708303,81,134,114
2708402,81,134,114
2708501,81,134,114
2708600,81,134,114
2708709,81,134,114
2708808,81,134,114
2708907,81,134,114
2708956,81,134,
2709004,81,134,114
2709103,81,134,114
2709152,81,134,
2709202,81,135,114
2709301,81,134,114
2709400,81,134,114
2800100,82,135,115
2800209,82,135,115
2800308,82,135,115
2800407,82,135,115
2800506,82,135,115
2800605,82,135,115
2800670,82,135,115
2800704,82,135,115
2801009,82,135,115
2801108,82,135,115
2801207,81,134,126
2801306,82,135,115
2801405,82,135,115
2801504,82,135,115
2801603,82,135,115
2801702,82,135,115
2801900,82,135,115
2802007,82,135,115
2802106,82,135,115
2802205,82,135,115
2802304,82,135,115
2802403,82,135,115
2802502,82,135,115
2802601,82,135,115
2802700,82,135,115
2802809,82,135,115
2802908,82,135,115
2803005,82,135,115
2803104,82,135,115
2803203,82,135,115
2803302,82,135,115
2803401,82,135,115
2803500,82,135,115
2803609,82,135,115
2803708,82,135,115
2803807,82,135,115
2803906,82,135,115
2804003,82,135,115
2804102,82,135,115
2804201,82,135,115
2804300,82,135,115
2804409,82,135,115
2804458,82,135,115
2804508,82,135,115
2804607,82,135,115
2804706,82,135,115
2804805,82,135,115
2804904,82,135,115
2805000,82,135,115
2805109,82,135,115
2805208,82,135,115
2805307,82,135,115
2805406,81,135,115
2805505,82,135,115
2805604,82,135,115
2805703,82,135,115
2805802,82,135,115
2805901,82,135,115
2806008,82,135,115
2806107,82,135,115
2806206,82,135,115
2806305,82,135,115
2806404,82,135,
2806503,82,135,115
2806602,82,135,115
2806701,82,135,115
2806800,82,135,115
2806909,82,135,115
2807006,82,135,115
2807105,82,135,115
2807204,82,135,115
2807303,82,135,115
2807402,82,137,133
2807501,82,135,115
2807600,82,135,115
2900108,84,136,149
2900207,80,131,105
2900306,83,137,133
2900355,82,135,
2900405,83,137,133
2900504,84,136,116
2900603,84,142,133
2900702,83,137,133
2900801,90,146,158
2900900,84,142,149
2901007,83,137,133
2901106,83,137,133
2901155,84,136,
2901205,84,142,149
2901304,84,136,149
2901353,83,137,
2901403,87,138,121
2901502,83,137,133
2901601,82,135,115
2901700,83,137,133
2901809,83,137,140
2901908,83,137,133
2901957,84,142,
2902005,84,136,149
2902054,83,137,
2902104,83,137,133
2902203,83,137,133
2902252,84,142,
2902302,83,137,133
2902401,84,142,149
2902500,87,138,121
2902609,83,137,140
2902658,82,135,
2902708,84,136,140
2902807,84,136,149
2902906,84,142,149
2903003,84,136,140
2903102,84,142,149
2903201,87,138,121
2903235,84,136,
2903276,83,,
2903300,84,142,149
2903409,84,142,149
2903508,84,142,149
2903607,83,137,133
2903706,84,142,149
2903805,84,137,133
2903904,87,138,117
2903953,84,142,
2904001,84,136,149
2904050,84,136,
2904100,84,136,149
2904209,84,136,149
2904308,84,137,133
2904407,87,138,137
2904506,84,138,140
2904605,84,136,149
2904704,84,142,149
2904753,72,136,
2904803,84,142,149
2904852,83,137,
2904902,83,137,133
2905008,87,142,149
2905107,83,137,118
2905156,84,142,
2905206,87,142,149
2905305,84,136,140
2905404,84,137,149
2905503,83,137,140
2905602,84,142,149
2905701,83,137,133
2905800,84,142,149
2905909,77,122,119
2906006,83,137,140
2906105,87,138,134
2906204,84,136,140
2906303,84,142,120
2906402,83,137,133
2906501,83,137,133
2906600,87,142,149
2906709,84,142,149
2906808,82,137,133
2906824,82,135,
2906857,83,137,
2906873,83,137,
2906899,84,142,
2906907,90,146,158
2907004,83,137,133
2907103,87,142,148
2907202,80,131,140
2907301,83,137,133
2907400,87,138,121
2907509,83,137,133
2907558,84,136,
2907608,84,136,140
2907707,80,131,
2907806,82,135,115
2907905,82,137,133
2908002,84,142,149
2908101,87,138,148
2908200,83,137,133
2908309,83,137,133
2908408,83,137,133
2908507,83,137,133
2908606,82,137,133
2908705,87,142,149
2908804,84,136,149
2908903,83,137,133
2909000,87,142,149
2909109,87,138,134
2909208,82,135,126
2909307,87,138,134
2909406,87,138,122
2909505,84,137,133
2909604,83,137,133
2909703,87,138,122
2909802,83,137,133
2909901,80,131,140
2910008,84,142,149
2910057,83,137,
2910107,84,136,149
2910206,83,137,133
2910305,83,137,133
2910404,84,142,149
2910503,83,137,133
2910602,83,137,133
2910701,82,135,123
2910727,84,142,
2910750,82,135,
2910776,87,138,
2910800,83,137,133
2910859,83,137,
2910909,84,142,149
2911006,84,142,149
2911105,72,123,135
2911204,84,137,149
2911253,83,137,
2911303,84,136,140
2911402,81,134,126
2911501,84,142,149
2911600,83,137,133
2911659,87,142,
2911709,87,142,149
2911808,84,142,149
2911857,82,135,
2911907,84,137,133
2912004,87,142,149
2912103,84,142,149
2912202,84,136,149
2912301,84,142,149
2912400,84,136,140
2912509,84,136,149
2912608,84,136,133
2912707,84,142,149
2912806,90,146,158
2912905,84,142,149
2913002,84,136,149
2913101,84,136,140
2913200,87,138,140
2913309,83,137,133
2913408,87,142,149
2913457,84,142,
2913507,84,142,149
2913606,84,142,149
2913705,83,137,133
2913804,83,137,133
2913903,84,142,149
2914000,83,137,133
2914109,84,138,124
2914208,84,137,133
2914307,84,136,149
2914406,84,136,149
2914505,83,137,133
2914604,84,136,140
2914653,84,142,
2914703,84,137,133
2914802,84,142,149
2914901,84,142,149
2915007,84,136,149
2915106,84,142,133
2915205,84,142,149
2915304,84,142,149
2915353,84,136,
2915403,84,142,149
2915502,84,142,149
2915601,90,146,158
2915700,84,137,133
2915809,84,142,149
2915908,83,137,133
2916005,90,146,158
2916104,83,137,133
2916203,84,142,149
2916302,84,142,149
2916401,84,142,149
2916500,82,137,133
2916609,84,142,149
2916708,84,137,133
2916807,84,142,149
2916856,83,137,
2916906,84,137,133
2917003,83,137,140
2917102,84,142,149
2917201,84,136,149
2917300,84,142,149
2917334,87,142,
2917359,87,138,
2917409,87,142,149
2917508,83,137,140
2917607,84,137,133
2917706,83,137,140
2917805,83,137,133
2917904,82,135,115
2918001,84,142,133
2918100,82,135,126
2918209,83,137,133
2918308,84,142,133
2918357,84,136,
2918407,80,131,140
2918456,90,146,
2918506,84,136,140
2918555,84,142,
2918605,84,136,149
2918704,84,142,133
2918753,87,142,
2918803,83,137,133
2918902,90,146,158
2919009,84,136,149
2919058,84,137,
2919108,83,137,133
2919157,84,136,
2919207,83,137,133
2919306,84,136,149
2919405,87,142,149
2919504,84,136,149
2919553,151,,
2919603,84,137,125
2919702,84,142,149
2919801,84,136,149
2919900,80,131,132
2919926,83,137,
2919959,84,142,
2920007,84,142,149
2920106,83,137,140
2920205,87,142,148
2920304,84,136,149
2920403,84,142,133
2920452,72,123,
2920502,84,137,133
2920601,83,137,133
2920700,84,142,149
2920809,84,137,149
2920908,84,142,149
2921005,83,137,133
2921054,87,142,
2921104,90,146,158
2921203,83,137,140
2921302,83,137,133
2921401,83,137,140
2921450,84,142,
2921500,82,137,133
2921609,87,138,140
2921708,83,137,140
2921807,87,142,149
2921906,84,136,149
2922003,90,146,158
2922052,84,136,
2922102,83,137,140
2922201,83,137,133
2922250,87,138,
2922300,83,137,133
2922409,83,137,133
2922508,83,137,133
2922607,84,137,149
2922656,82,137,
2922706,84,142,149
2922730,83,137,
2922755,84,137,
2922805,84,137,133
2922854,84,136,
2922904,82,137,133
2923001,90,146,158
2923035,84,136,
2923050,82,135,
2923100,82,137,133
2923209,87,138,140
2923308,83,137,133
2923357,83,137,
2923407,87,142,149
2923506,84,136,149
2923605,84,136,149
2923704,87,138,140
2923803,82,135,115
2923902,84,142,149
2924009,81,134,126
2924058,83,137,
2924108,83,137,133
2924207,82,135,126
2924306,84,136,149
2924405,77,122,127
2924504,87,142,
2924603,83,137,140
2924652,83,137,
2924678,84,137,
2924702,84,142,128
2924801,83,137,140
2924900,84,137,133
2925006,84,142,149
2925105,84,142,149
2925204,83,137,133
2925253,83,137,
2925303,84,142,149
2925402,84,142,149
2925501,90,146,158
2925600,84,136,140
2925709,84,142,149
2925758,84,137,
2925808,83,137,133
2925907,82,135,129
2925931,83,137,
2925956,83,137,
2926004,77,122,130
2926103,83,137,133
2926202,87,138,131
2926301,83,137,133
2926400,87,142,149
2926509,82,137,133
2926608,82,135,133
2926657,84,142,
2926707,84,136,149
2926806,87,142,149
2926905,84,136,149
2927002,82,135,115
2927101,80,131,132
2927200,84,137,133
2927309,83,137,133
2927408,83,137,133
2927507,83,137,133
2927606,81,134,126
2927705,84,142,149
2927804,84,142,149
2927903,84,137,133
2928000,83,137,133
2928059,84,142,
2928109,87,138,134
2928208,87,138,134
2928307,83,137,133
2928406,72,123,135
2928505,83,137,133
2928604,83,137,133
2928703,83,137,133
2928802,83,137,133
2928901,87,138,121
2928950,83,137,
2929008,83,137,133
2929057,87,138,
2929107,83,137,133
2929206,83,137,133
2929255,84,136,
2929305,83,137,133
2929354,84,142,
2929370,83,137,
2929404,83,137,133
2929503,83,137,133
2929602,83,137,133
2929701,83,137,133
2929750,83,137,
2929800,83,137,140
2929909,84,136,149
2930006,87,142,148
2930105,83,137,140
2930154,87,138,
2930204,77,122,136
2930303,87,138,134
2930402,83,137,133
2930501,83,137,133
2930600,83,137,140
2930709,83,137,133
2930758,87,138,
2930766,82,135,
2930774,80,131,
2930808,84,136,149
2930907,87,138,137
2931004,84,136,149
2931053,84,136,
2931103,83,137,133
2931202,84,137,149
2931301,83,137,140
2931350,90,146,
2931400,83,137,133
2931509,83,137,133
2931608,84,137,149
2931707,83,137,133
2931806,84,142,149
2931905,82,135,133
2932002,82,135,138
2932101,84,137,133
2932200,84,142,149
2932309,84,142,149
2932408,84,136,140
2932457,83,137,
2932507,84,142,149
2932606,87,142,139
2932705,84,142,149
2932804,84,136,149
2932903,84,137,149
2933000,83,137,133
2933059,83,137,
2933109,83,137,140
2933158,83,137,
2933174,83,137,
2933208,83,137,133
2933257,90,146,
2933307,84,142,149
2933406,84,136,149
2933455,87,138,
2933505,84,137,149
2933604,84,136,140
3100104,152,145,231
3100203,86,145,153
3100302,89,141,156
3100401,86,141,154
3100500,88,146,155
3100609,88,146,155
3100708,97,151,164
3100807,95,159,150
3100906,90,146,158
3101003,87,142,149
3101102,90,147,159
3101201,95,159,156
3101300,95,159,150
3101409,95,159,165
3101508,89,144,156
3101607,95,159,150
3101631,91,140,
3101706,84,146,149
3101805,88,146,155
3101904,95,151,165
3102001,95,159,150
3102050,89,147,
3102100,91,140,154
3102209,88,146,159
3102308,86,141,154
3102407,86,146,155
3102506,89,141,156
3102605,95,159,165
3102704,87,142,149
3102803,95,144,156
3102852,87,146,
3102902,91,140,154
3103009,88,146,155
3103108,89,148,156
3103207,86,141,152
3103306,89,144,156
3103405,87,146,149
3103504,152,145,231
3103603,95,144,156
3103702,89,144,156
3103751,152,216,
3103801,85,145,153
3103900,86,143,153
3104007,86,145,153
3104106,95,159,165
3104205,86,143,153
3104304,95,159,150
3104403,89,144,156
3104452,87,146,
3104502,153,142,141
3104601,89,144,156
3104700,87,146,155
3104809,86,146,148
3104908,95,159,150
3105004,86,141,152
3105103,86,143,153
3105202,84,146,149
3105301,95,159,165
3105400,86,141,152
3105509,89,148,156
3105608,91,140,154
3105707,86,141,156
3105905,91,140,154
3106002,86,141,152
3106101,89,144,156
3106200,86,141,152
3106309,88,146,155
3106408,91,141,152
3106507,87,146,149
3106606,90,146,158
3106655,87,142,
3106705,86,141,152
3106804,89,144,154
3106903,89,144,156
3107000,86,145,153
3107109,95,159,150
3107208,92,149,169
3107307,87,142,148
3107406,86,143,153
3107505,95,144,156
3107604,95,151,165
3107703,86,141,152
3107802,88,146,155
3107901,95,159,150
3108008,95,159,154
3108107,86,141,152
3108206,153,142,142
3108255,87,142,
3108305,95,159,150
3108404,95,159,165
3108503,87,142,148
3108552,153,142,
3108602,87,142,148
3108701,89,144,156
3108800,88,146,155
3108909,95,159,150
3109006,86,141,152
3109105,95,159,168
3109204,86,146,148
3109253,88,146,
3109303,153,142,143
3109402,87,142,148
3109451,153,142,
3109501,95,159,165
3109600,86,141,152
3109709,95,159,150
3109808,152,216,166
3109907,86,141,152
3110004,86,141,152
3110103,89,147,159
3110202,89,144,156
3110301,95,159,165
3110400,86,143,153
3110509,93,152,168
3110608,95,159,168
3110707,95,159,150
3110806,87,146,155
3110905,95,159,150
3111002,95,159,165
3111101,94,153,166
3111150,87,142,
3111200,95,159,154
3111309,95,159,150
3111408,97,151,164
3111507,86,143,153
3111606,95,159,150
3111705,89,144,156
3111804,152,216,231
3111903,95,159,154
3112000,95,159,154
3112059,88,146,
3112109,89,147,156
3112208,91,140,154
3112307,87,146,155
3112406,97,151,165
3112505,86,141,152
3112604,152,216,166
3112653,88,146,
3112703,87,142,148
3112802,86,143,153
3112901,89,147,156
3113008,87,146,155
3113107,91,140,154
3113206,91,140,154
3113305,89,148,156
3113404,88,146,155
3113503,87,146,155
3113602,95,159,150
3113701,90,146,158
3113800,86,146,155
3113909,95,159,150
3114006,86,143,153
3114105,95,159,150
3114204,86,143,153
3114303,85,145,153
3114402,95,159,150
3114501,86,143,152
3114550,94,153,
3114600,95,159,154
3114709,95,159,150
3114808,95,159,156
3114907,91,140,154
3115003,152,145,231
3115102,97,151,165
3115201,91,140,154
3115300,89,144,156
3115359,86,141,
3115409,91,140,154
3115458,87,146,
3115474,87,142,
3115508,95,159,150
3115607,86,145,
3115706,90,146,155
3115805,152,216,231
3115904,89,144,156
3116001,89,147,156
3116100,87,146,155
3116159,87,139,
3116209,89,144,156
3116308,91,140,154
3116407,97,151,165
3116506,87,142,148
3116605,86,143,153
3116704,89,144,156
3116803,88,146,155
3116902,101,151,164
3117009,87,142,149
3117108,95,159,150
3117207,95,159,150
3117306,97,151,164
3117405,89,147,156
3117504,86,146,155
3117603,86,143,152
3117702,95,159,150
3117801,95,159,169
3117836,87,142,
3117876,86,141,
3117900,95,159,150
3118007,91,140,154
3118106,86,146,148
3118205,97,151,164
3118304,91,140,154
3118403,88,146,159
3118502,95,159,169
3118601,86,141,152
3118700,95,159,150
3118809,87,142,148
3118908,86,141,152
3119005,95,159,150
3119104,86,146,148
3119203,88,146,155
3119302,152,145,231
3119401,88,146,155
3119500,87,146,149
3119609,89,144,156
3119708,91,140,154
3119807,86,143,153
3119906,95,159,168
3119955,86,143,
3120003,88,146,155
3120102,86,146,148
3120151,90,146,
3120201,95,159,154
3120300,87,142,148
3120409,91,140,154
3120508,95,159,150
3120607,86,141,152
3120706,85,145,153
3120805,95,159,150
3120839,90,146,
3120870,87,142,
3120904,86,146,148
3121001,86,146,144
3121100,95,159,150
3121209,95,151,165
3121258,97,151,
3121308,89,144,156
3121407,91,140,154
3121506,91,140,154
3121605,86,146,148
3121704,86,141,154
3121803,88,146,155
3121902,89,144,156
3122009,89,148,156
3122108,88,146,155
3122207,88,146,155
3122306,86,143,153
3122355,87,142,
3122405,95,159,150
3122454,84,142,
3122470,153,142,
3122504,88,146,155
3122603,86,146,155
3122702,89,141,156
3122801,95,159,150
3122900,89,144,156
3123007,91,140,154
3123106,88,146,155
3123205,86,145,153
3123304,89,144,156
3123403,86,143,153
3123502,152,145,231
3123528,89,147,
3123601,95,159,150
3123700,88,146,155
3123809,87,142,148
3123858,88,146,
3123908,91,140,154
3124005,89,144,156
3124104,86,141,152
3124203,89,147,159
3124302,87,142,148
3124401,95,159,150
3124500,95,159,150
3124609,89,148,156
3124708,86,145,153
3124807,152,145,231
3124906,89,148,156
3125002,89,144,156
3125101,93,152,168
3125200,95,159,150
3125309,89,148,156
3125408,86,146,148
3125507,86,146,148
3125606,90,146,149
3125705,86,146,148
3125804,88,146,155
3125903,86,146,155
3125952,89,148,
3126000,86,141,152
3126109,86,143,153
3126208,151,208,145
3126307,95,151,165
3126406,86,141,152
3126505,87,146,149
3126604,87,142,148
3126703,87,142,148
3126752,87,146,
3126802,87,146,155
3126901,88,146,155
3126950,88,146,
3127008,101,154,166
3127057,90,146,158
3127073,87,142,
3127107,101,151,164
3127206,86,141,152
3127305,88,146,155
3127339,87,142,
3127354,87,142,
3127370,90,146,
3127388,89,144,
3127404,95,159,169
3127503,88,146,155
3127602,86,146,148
3127701,88,146,155
3127800,87,142,148
3127909,152,145,231
3128006,88,146,155
3128105,86,143,150
3128204,89,144,156
3128253,87,142,
3128303,95,159,165
3128402,89,144,156
3128501,89,144,156
3128600,85,145,153
3128709,95,159,165
3128808,89,144,156
3128907,85,145,153
3129004,89,144,156
3129103,152,216,166
3129202,95,159,150
3129301,88,146,155
3129400,91,140,154
3129509,86,145,153
3129608,87,142,148
3129657,87,142,
3129707,97,151,165
3129806,86,141,152
3129905,95,159,165
3130002,95,159,154
3130051,87,142,
3130101,86,141,152
3130200,86,143,152
3130309,86,143,153
3130408,95,159,154
3130507,95,159,150
3130556,88,146,
3130606,95,159,150
3130655,87,142,
3130705,152,145,231
3130804,95,159,154
3130903,88,146,155
3131000,86,141,152
3131109,86,146,148
3131158,88,146,
3131208,89,147,159
3131307,88,146,155
3131406,152,216,166
3131505,95,159,150
3131604,152,145,231
3131703,86,141,152
3131802,90,146,155
3131901,86,141,152
3132008,87,142,148
3132107,87,142,148
3132206,86,143,152
3132305,87,146,155
3132404,95,159,150
3132503,87,146,148
3132602,89,144,156
3132701,87,146,155
3132800,86,141,152
3132909,95,151,165
3133006,95,159,150
3133105,95,159,150
3133204,88,146,155
3133303,87,146,149
3133402,94,153,166
3133501,86,143,153
3133600,93,152,168
3133709,86,141,152
3133758,95,151,
3133808,86,141,152
3133907,91,140,154
3134004,87,146,149
3134103,90,147,159
3134202,152,216,166
3134301,95,159,154
3134400,94,153,166
3134509,95,159,154
3134608,86,141,152
3134707,84,146,149
3134806,95,151,165
3134905,95,159,168
3135001,88,146,155
3135050,87,142,
3135076,88,146,
3135100,87,142,148
3135209,87,142,148
3135308,86,143,153
3135357,87,142,
3135407,91,140,154
3135456,87,146,
3135506,89,141,156
3135605,87,142,148
3135704,86,141,152
3135803,90,146,149
3135902,95,159,150
3136009,90,146,149
3136108,88,146,155
3136207,86,141,152
3136306,85,145,153
3136405,86,146,148
3136504,84,142,149
3136520,87,146,
3136553,88,146,
3136579,87,142,
3136603,86,141,152
3136652,86,141,
3136702,89,144,156
3136801,87,142,148
3136900,95,159,165
3136959,87,138,
3137007,87,146,155
3137106,85,145,153
3137205,86,143,153
3137304,87,142,146
3137403,91,140,154
3137502,85,145,153
3137536,85,145,
3137601,86,141,152
3137700,89,147,156
3137809,95,159,150
3137908,91,140,154
3138005,89,144,156
3138104,87,142,148
3138203,95,159,154
3138302,86,143,152
3138351,87,146,
3138401,89,144,156
3138500,95,159,156
3138609,89,144,156
3138625,94,153,
3138658,87,142,
3138674,89,147,
3138682,87,142,
3138708,95,159,150
3138807,86,143,153
3138906,90,146,158
3139003,95,159,150
3139102,91,140,154
3139201,87,146,155
3139250,87,142,
3139300,87,142,148
3139409,89,147,156
3139508,89,147,156
3139607,90,146,155
3139706,86,143,152
3139805,89,144,156
3139904,95,159,150
3140001,86,141,154
3140100,88,146,155
3140159,86,141,
3140209,89,144,156
3140308,88,146,155
3140407,95,159,150
3140506,86,143,153
3140530,89,147,
3140555,84,142,
3140605,88,146,148
3140704,86,141,152
3140803,89,144,156
3140852,87,142,
3140902,89,141,156
3141009,87,142,148
3141108,86,141,152
3141207,85,145,153
3141306,86,143,153
3141405,87,142,149
3141504,90,146,155
3141603,89,144,156
3141702,88,146,155
3141801,87,146,155
3141900,95,159,154
3142007,87,142,148
3142106,89,148,156
3142205,89,144,156
3142254,87,142,
3142304,86,141,152
3142403,86,143,153
3142502,86,146,148
3142601,95,159,150
3142700,87,138,148
3142809,152,145,231
3142908,87,142,148
3143005,95,159,150
3143104,152,145,231
3143153,90,146,
3143203,95,159,165
3143302,87,142,148
3143401,93,152,168
3143450,87,142,
3143500,86,145,153
3143609,86,146,148
3143708,86,141,155
3143807,93,152,168
3143906,89,148,156
3144003,89,147,159
3144102,95,159,165
3144201,88,146,155
3144300,90,146,158
3144359,88,146,
3144375,153,142,
3144409,95,159,150
3144508,95,140,154
3144607,95,159,150
3144656,87,142,
3144672,90,146,
3144706,86,141,152
3144805,86,141,152
3144904,87,146,155
3145000,152,145,153
3145059,87,142,
3145109,95,159,165
3145208,86,143,152
3145307,87,146,155
3145356,87,146,
3145372,87,142,
3145406,89,144,156
3145455,87,142,
3145505,95,159,150
3145604,86,143,153
3145703,89,140,156
3145802,86,143,152
3145851,89,141,
3145877,89,147,
3145901,91,140,154
3146008,95,159,150
3146107,86,141,154
3146206,87,146,155
3146255,87,142,
3146305,87,146,155
3146404,86,145,153
3146503,86,143,153
3146552,87,142,
3146602,89,140,156
3146701,89,148,156
3146750,90,146,
3146909,86,143,152
3147006,85,145,153
3147105,86,143,152
3147204,95,159,150
3147303,95,159,169
3147402,86,141,152
3147501,86,141,152
3147600,95,159,150
3147709,86,143,154
3147808,92,149,156
3147907,95,151,165
3147956,87,142,
3148004,85,145,153
3148103,85,145,153
3148202,89,148,156
3148301,89,144,156
3148400,88,146,155
3148509,87,146,155
3148608,88,146,155
3148707,87,142,149
3148756,89,147,
3148806,89,144,156
3148905,86,143,153
3149002,89,148,156
3149101,95,159,150
3149150,87,142,
3149200,152,145,153
3149309,86,141,152
3149408,89,144,156
3149507,89,144,156
3149606,86,143,152
3149705,86,143,147
3149804,152,145,153
3149903,95,159,154
3149952,88,146,
3150000,87,146,155
3150109,89,144,156
3150158,88,146,
3150208,89,141,156
3150307,91,140,154
3150406,86,141,152
3150505,86,143,153
3150539,88,146,
3150570,87,142,
3150604,86,143,154
3150703,97,151,164
3150802,91,141,154
3150901,95,159,150
3151008,95,159,150
3151107,89,148,156
3151206,87,142,148
3151305,89,144,156
3151404,86,143,152
3151503,86,143,153
3151602,101,151,164
3151701,95,159,150
3151800,95,159,165
3151909,89,147,155
3152006,86,143,152
3152105,89,141,156
3152131,87,142,
3152170,87,146,
3152204,87,142,148
3152303,89,144,156
3152402,87,146,155
3152501,95,159,150
3152600,95,159,150
3152709,91,140,154
3152808,101,145,231
3152907,95,151,165
3153004,86,143,153
3153103,89,141,156
3153202,86,146,148
3153301,86,146,148
3153400,85,145,153
3153509,89,147,156
3153608,86,141,152
