Municipio,RF_2010,RF_2000,RF_1980
1703800,70,115,
1703826,70,115,
1703842,70,115,
1703867,69,111,
1703883,70,115,
1703891,70,115,
1703909,69,111,
1704105,70,111,
1704600,69,111,
1705102,69,208,
1705508,70,111,
1705557,151,208,
1705607,151,208,
1706001,70,111,
1706100,69,111,
1706258,69,111,
1706506,70,115,
1707009,151,208,
1707108,69,111,
1707207,69,111,
1707306,69,111,
1707405,70,115,
1707553,69,111,
1707652,69,111,
1707702,70,115,
1708205,69,111,
1708254,70,111,
1708304,70,111,
1709005,70,115,
1709302,70,111,
1709500,69,111,
1709807,69,111,
1710508,70,111,
1710706,70,115,
1710904,70,111,
1711100,70,111,
1711506,69,111,
1711803,70,111,
1711902,69,111,
1711951,69,111,
1712009,69,111,
1712157,151,208,
1712405,67,110,
1712454,70,115,
1712504,69,111,
1712702,68,107,
1712801,70,115,
1713205,69,111,
1713304,69,111,
1713601,69,111,
1713700,69,111,
1713809,70,115,
1713957,70,115,
1714203,69,208,
1714302,70,115,
1714880,70,111,
1715002,69,111,
1715101,69,111,
1715150,151,208,
1715259,151,208,
1715507,69,111,
1715705,70,111,
1715754,69,214,
1716109,69,111,
1716208,69,214,
1716307,70,111,
1716505,70,111,
1716604,69,111,
1716653,70,111,
1716703,70,111,
1717008,69,208,
1717206,70,115,
1717503,69,111,
1717800,151,208,
1717909,69,108,
1718006,151,208,
1718204,69,111,
1718303,70,115,
1718402,70,111,
1718451,69,111,
1718501,70,111,
1718550,70,115,
1718659,151,208,
1718709,69,111,
1718758,69,111,
1718808,70,115,
1718840,150,109,
1718865,70,115,
1718881,70,111,
1718899,69,111,
1718907,69,208,
1719004,69,111,
1720002,70,115,
1720101,70,115,
1720150,68,110,
1720200,70,115,
1720259,69,214,
1720309,70,115,
1720499,69,208,
1720655,69,111,
1720804,70,115,
1720853,69,111,
1720903,151,208,
1720937,151,208,
1720978,69,111,
1721000,69,111,
1721109,69,111,
1721208,70,115,
1721257,70,111,
1721307,70,111,
1722081,70,115,
1722107,70,115,
2100055,70,115,
2100105,73,124,99
2100154,73,125,
2100204,71,118,89
2100303,73,124,99
2100402,71,118,83
2100436,71,118,
2100477,71,118,
2100501,72,123,94
2100550,71,117,
2100600,70,115,220
2100709,71,118,89
2100808,73,124,99
2100832,71,118,
2100873,71,118,
2100907,73,125,98
2100956,71,112,
2101004,71,118,89
2101103,71,118,89
2101202,71,118,90
2101251,71,118,
2101301,71,118,89
2101350,71,118,
2101400,77,123,94
2101509,77,120,99
2101608,71,118,84
2101707,73,125,98
2101731,73,124,
2101772,71,118,
2101806,77,120,94
2101905,71,118,89
2101939,71,118,
2101970,71,117,
2102002,71,118,85
2102036,71,113,
2102077,71,118,
2102101,73,124,99
2102150,71,118,
2102200,73,124,99
2102309,71,120,90
2102325,71,113,
2102358,70,115,
2102374,71,118,
2102408,71,118,89
2102507,71,118,89
2102556,70,115,
2102606,71,117,89
2102705,71,118,89
2102754,71,118,
2102804,70,115,220
2102903,71,117,89
2103000,73,124,99
2103109,71,118,89
2103125,71,118,
2103158,71,117,
2103174,71,117,
2103208,73,124,99
2103257,70,115,
2103307,71,118,90
2103406,73,124,99
2103505,71,120,90
2103554,71,118,
2103604,71,118,90
2103703,71,118,86
2103752,70,115,
2103802,71,118,90
2103901,73,124,99
2104008,71,118,90
2104057,70,115,
2104073,77,123,
2104081,71,114,
2104099,77,123,
2104107,77,123,94
2104206,71,118,90
2104305,71,117,89
2104404,71,118,90
2104503,71,118,90
2104552,70,115,
2104602,71,118,90
2104628,71,118,
2104651,71,118,
2104677,71,117,
2104701,71,118,90
2104800,71,115,87
2104909,71,118,89
2105005,73,118,89
2105104,71,118,89
2105153,71,118,
2105203,71,118,90
2105302,70,115,220
2105351,71,116,
2105401,71,118,89
2105427,70,115,
2105450,71,120,
2105476,71,118,
2105500,70,115,220
2105609,71,118,90
2105658,71,117,
2105708,71,118,90
2105807,71,118,90
2105906,71,118,88
2105922,71,120,
2105948,71,118,
2105963,71,118,
2105989,70,115,
2106003,71,118,90
2106102,77,123,94
2106201,71,117,89
2106300,73,125,99
2106326,71,117,
2106359,71,118,
2106375,71,117,
2106409,73,124,99
2106508,71,118,89
2106607,73,124,99
2106631,71,118,
2106672,73,124,
2106706,71,120,90
2106755,71,118,
2106805,71,118,89
2106904,71,118,90
2107001,70,115,220
2107100,71,118,89
2107209,71,118,99
2107258,77,123,
2107308,71,120,90
2107357,71,117,
2107407,71,118,90
2107456,71,118,
2107506,71,118,89
2107605,71,118,89
2107704,71,120,90
2107803,73,124,99
2107902,71,120,90
2108009,71,120,90
2108058,73,125,
2108108,71,118,90
2108207,71,118,90
2108256,71,118,
2108306,71,118,89
2108405,71,118,89
2108454,71,118,
2108504,71,118,90
2108603,71,118,89
2108702,71,118,90
2108801,71,118,89
2108900,71,118,90
2109007,70,115,220
2109056,71,118,
2109106,71,118,90
2109205,71,118,89
2109239,71,117,
2109270,71,118,
2109304,71,118,99
2109403,73,118,89
2109452,71,118,
2109502,77,123,94
2109551,70,115,
2109601,71,118,89
2109700,77,123,94
2109759,71,118,
2109809,71,118,89
2109908,71,118,90
2110005,71,118,90
2110039,71,117,
2110104,73,124,99
2110203,71,118,89
2110237,73,125,
2110278,73,118,
2110302,71,118,90
2110401,73,124,99
2110500,71,118,89
2110609,73,125,99
2110658,77,120,
2110708,71,118,90
2110807,77,123,94
2110856,70,115,
2110906,73,124,99
2111003,71,118,89
2111029,71,118,
2111052,70,115,
2111078,73,124,
2111102,71,120,90
2111201,71,118,89
2111250,71,118,
